,station_code,city_name,year,month,day,rainfall,period,quality,lat,long,station_name,avg_rainfall
172,9151,Perth,1968,10,16,5.1,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
173,9151,Perth,1968,10,20,3.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
174,9151,Perth,1968,10,21,1.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
175,9151,Perth,1968,11,5,2.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
176,9151,Perth,1968,11,10,10.4,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
177,9151,Perth,1968,11,13,0.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
178,9151,Perth,1968,11,16,2.5,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
179,9151,Perth,1968,12,21,2.0,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
180,9151,Perth,1968,12,22,24.1,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
181,9151,Perth,1969,1,15,4.1,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
182,9151,Perth,1969,1,17,1.5,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
183,9151,Perth,1969,1,24,0.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
184,9151,Perth,1969,3,9,0.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
185,9151,Perth,1969,3,10,1.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
186,9151,Perth,1969,3,11,0.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
187,9151,Perth,1969,3,13,1.0,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
188,9151,Perth,1969,3,19,15.2,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
189,9151,Perth,1969,3,20,1.0,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
190,9151,Perth,1969,3,24,0.5,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
191,9151,Perth,1969,4,6,1.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
192,9151,Perth,1969,4,7,1.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
193,9151,Perth,1969,4,8,17.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
194,9151,Perth,1969,4,9,9.4,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
195,9151,Perth,1969,4,10,4.6,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
196,9151,Perth,1969,4,23,1.5,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
197,9151,Perth,1969,4,24,5.6,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
198,9151,Perth,1969,5,8,3.6,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
199,9151,Perth,1969,5,9,14.0,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
200,9151,Perth,1969,5,10,6.9,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
201,9151,Perth,1969,5,17,2.0,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
202,9151,Perth,1969,5,18,17.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
203,9151,Perth,1969,5,19,3.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
204,9151,Perth,1969,5,20,13.2,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
205,9151,Perth,1969,5,22,3.6,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
206,9151,Perth,1969,5,27,9.7,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
207,9151,Perth,1969,6,5,2.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
208,9151,Perth,1969,6,6,1.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
209,9151,Perth,1969,6,7,2.0,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
210,9151,Perth,1969,6,8,3.6,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
211,9151,Perth,1969,6,9,1.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
212,9151,Perth,1969,6,10,9.1,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
213,9151,Perth,1969,6,11,11.9,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
214,9151,Perth,1969,6,13,12.2,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
215,9151,Perth,1969,6,14,25.4,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
216,9151,Perth,1969,6,15,0.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
217,9151,Perth,1969,6,16,44.5,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
218,9151,Perth,1969,6,19,1.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
219,9151,Perth,1969,6,20,5.1,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
220,9151,Perth,1969,6,21,11.9,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
221,9151,Perth,1969,6,27,2.0,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
222,9151,Perth,1969,6,28,55.9,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
223,9151,Perth,1969,6,29,5.1,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
224,9151,Perth,1969,6,30,4.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
225,9151,Perth,1969,7,2,0.5,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
226,9151,Perth,1969,7,3,8.1,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
227,9151,Perth,1969,7,5,0.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
228,9151,Perth,1969,7,10,17.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
229,9151,Perth,1969,7,11,3.0,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
230,9151,Perth,1969,7,13,3.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
231,9151,Perth,1969,7,14,3.0,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
232,9151,Perth,1969,7,15,5.6,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,7.36
